id,value
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN AMIGDALAS Y ADENOIDES} SubGrupo: {AMIGDALECTOMIAS},60
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN AMIGDALAS Y ADENOIDES} SubGrupo: {CONTROL DE HEMORRAGIA DESPUES DE AMIGADALECTOMIA Y ADENOIDECTOMIA},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN AMIGDALAS Y ADENOIDES} SubGrupo: {INCISION Y DRENAJE DE AMIGDALA Y ESTRUCTURAS PERIAMIGDALARES},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {EXODONCIA QUIRURGICA (EXTRACCION QUIRURGICA DE DIENTES)},153
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {EXODONCIA SIMPLE},535
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {IMPLANTE DENTAL PROTESICO},169
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {INSERCION DE CORONAS Y PROTESIS},6367
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {RESTAURACION DE DIENTES MEDIANTE INCRUSTACIONES},21
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {RESTAURACION DE DIENTES MEDIANTE OBTURACIONES},11386
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES} SubGrupo: {TERAPIA DE CONDUCTO RADICULAR Y PROCEDIMIENTOS ENDODONTICOS},1510
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ALVEOLOPLASTIA},7
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {APLICACION DE DISPOSITIVO ORTODONTICO (ORTODONCIA Y ORTOPEDIA)},1068
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {CONTROL DE HEMORRAGIA DE ORIGEN DENTAL},13
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ESCISION DE LESION MAXILAR DE ORIGEN DENTARIO},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ESCISION DE LESION O TEJIDO DE ENCIA},27
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {INCISION DE ENCIA O HUESO ALVEOLAR},1067
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {OTROS PROCEDIMIENTOS ORTODONTICOS},368
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN DIENTES ENCIAS Y ALVEOLOS},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {REPARACION Y PLASTIA PERIODONTAL (CIRUGIA PERIODONTAL)},30
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN FARINGE} SubGrupo: {ESCISION O ABLACION DE LESION O TEJIDO DE FARINGE},7
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN FARINGE} SubGrupo: {FARINGOTOMIA},6
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN FARINGE} SubGrupo: {OTRA REPARACION DE FARINGE},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN FARINGE} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN FARINGE},13
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {ESCISION DE LESION DE GLANDULA SALIVAL},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {INCISION DE GLANDULA O CONDUCTO SALIVAL},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN GLANDULAS Y CONDUCTOS SALIVALES},28
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {SIALOADENECTOMIA},9
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {CONTROL DE EPISTAXIS},50
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {OTROS PROCEDIMIENTOS EN NARIZ},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN NARIZ},8
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {PROCEDIMIENTOS EN LA PIRAMIDE NASAL},459
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {REDUCCION},34
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {RESECCION - ESCISION},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {RESECCION  - ESCISION - ABLACION},37
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN NARIZ} SubGrupo: {TURBINECTOMIA},11
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {OTROS PROCEDIMIENTOS EN EL OIDO MEDIO Y EL OIDO INTERNO} SubGrupo: {INCISION DE MASTOIDES Y OIDO MEDIO},8
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {OTROS PROCEDIMIENTOS EN EL OIDO MEDIO Y EL OIDO INTERNO} SubGrupo: {MASTOIDECTOMIAS},9
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {OTROS PROCEDIMIENTOS EN EL OIDO MEDIO Y EL OIDO INTERNO} SubGrupo: {OTROS PROCEDIMIENTOS EN OIDO MEDIO E INTERNO},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {OTROS PROCEDIMIENTOS EN EL OIDO MEDIO Y EL OIDO INTERNO} SubGrupo: {TIMPANOTOMIA},251
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {CORRECCION QUIRURGICA DE PABELLON AURICULAR PROMINENTE},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {ESCISION DE TEJIDO O ABLACION DE LESION DE OIDO EXTERNO},13
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {INCISION DE OIDO EXTERNO},30
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {OTRA ESCISION DEL OIDO EXTERNO},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {OTRA REPARACION DEL OIDO EXTERNO},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS EN OIDO EXTERNO} SubGrupo: {SUTURA DE LACERACION DE OIDO EXTERNO},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS RECONSTRUCTIVOS EN OIDO MEDIO} SubGrupo: {ESTAPEDECTOMIA O ESTAPEDOTOMIA CON COLOCACION DE PROTESIS SOD},6
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA AUDITIVO} Grupo : {PROCEDIMIENTOS RECONSTRUCTIVOS EN OIDO MEDIO} SubGrupo: {TIMPANOPLASTIA},19
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS} SubGrupo: {EXPLORACION DE VASOS SANGUINEOS},15
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS} SubGrupo: {OTRA REPARACION O RECONSTRUCCION DE VASOS SANGUINEOS},45
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS} SubGrupo: {OTROS PROCEDIMIENTOS EN LOS VASOS SANGUINEOS},1375
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS} SubGrupo: {RECONSTRUCCION ANASTOMOSIS O DERIVACION O PUENTES DE VASOS NO CORONARIOS},7
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {OTROS PROCEDIMIENTOS EN VASOS SANGUINEOS} SubGrupo: {SUTURA DE VASO SANGUINEO},11
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {IMPLANTACION DE SISTEMA DE ASISTENCIA CARDIACA},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {INSERCION REVISION ELECTRODO},8
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {INSERCION (IMPLANTACION) REVISION SUSTITUCION O ELIMINACION DE DISPOSITIVO DE ESTIMULACION CARDIACA O REVISION DE BOLSILLO},102
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {OTROS PROCEDIMIENTOS EN CORAZON Y PERICARDIO},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {PERICARDIECTOMIA Y ESCISION DE LESION DE CORAZON},14
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN CORAZON Y PERICARDIO},41
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {PROCEDIMIENTOS EN EL PERICARDIO},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {REPARACION DE CORAZON Y PERICARDIO},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN CORAZON Y PERICARDIO} SubGrupo: {TRASPLANTE DE CORAZON},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS CARDIACOS (CORONARIAS)} SubGrupo: {ABLACION O ELIMINACION DE OBSTRUCCION DE ARTERIA CON O SIN IMPLANTE DE DISPOSITIVO},77
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS CARDIACOS (CORONARIAS)} SubGrupo: {ANASTOMOSIS PARA REVASCULARIZACION MIOCARDICA},15
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {ENDARTERECTOMIA},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {INTERRUPCION O PLICATURA DE VENA CAVA},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {LIGADURA Y ESCISION DE VENAS VARICOSAS},112
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {OCLUSION PINZAMIENTO O LIGADURA DE VASOS SANGUINEOS},88
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {OTRA ESCISION DE VASOS SANGUINEOS},23
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {PUNCION DE VASO},404
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {RESECCION DE VASO CON ANASTOMOSIS},17
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {RESECCION DE VASO CON SUSTITUCION},30
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VASOS SANGUINEOS (INCISION ESCISION Y OCLUSION)} SubGrupo: {TROMBOEMBOLECTOMIA},43
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {COMISUROTOMIA O VALVULOTOMIA},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {OTROS PROCEDIMIENTOS EN VALVULAS Y TABIQUES CARDIACOS},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {REEMPLAZOS DE VALVULAS CARDIACAS},17
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {REPARACION DE TABIQUES INTERAURICULAR E INTERVENTRICULAR},5
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {REPARACION TOTAL DE ANOMALIAS CARDIACAS CONGENITAS},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA CIRCULATORIO} Grupo : {PROCEDIMIENTOS EN VALVULAS DEL CORAZON} SubGrupo: {VALVULOTOMIAS O VALVULOPLASTIAS CARDIACAS QUIRURGICAS},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {OTRA REPARACION DE ESTOMAGO},10
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {OTROS PROCEDIMIENTOS EN ESTOMAGO},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN EL ESTOMAGO},128
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {SUTURA DE ULCERA PERFORADA CON O SIN VAGOTOMIA},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTRAS PROCEDIMIENTOS EN EL ESTOMAGO} SubGrupo: {VAGOTOMIA},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {DRENAJE DE ABDOMEN},36
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {LAPAROTOMIA},209
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {LISIS DE ADHERENCIAS PERITONEALES},43
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {OTRA REPARACION DE PARED ABDOMINAL Y PERITONEO},111
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {OTROS PROCEDIMIENTOS DE LA REGION ABDOMINAL},731
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS DE LA REGION ABDOMINAL},140
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {RESECCION DE LESION O TEJIDO DE LA PARED ABDOMINAL U OMBLIGO},45
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {RESECCION DE LESION O TEJIDO PERITONEAL},11
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN ABDOMEN} SubGrupo: {SUTURA DE PARED ABDOMINAL Y PERITONEO},17
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN INTESTINO} SubGrupo: {CIERRE DE ESTOMA PERSISTENTE},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN INTESTINO} SubGrupo: {COLOSTOMIAS},6
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN INTESTINO} SubGrupo: {DILATACION Y OTRA MANIPULACION DE INTESTINO},47
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN INTESTINO} SubGrupo: {EXTERIORIZACION DE INTESTINO (ENTEROSTOMIA)},11
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {SISTEMA DIGESTIVO} Grupo : {OTROS PROCEDIMIENTOS EN INTESTINO} SubGrupo: {ILEOSTOMIA CONTINENTE SOD},7
